journey_id,converted,conversion_value,total_touchpoints_in_journey,days_to_conversion
0,True,100,3,7
1,True,100,4,46
2,False,0,3,35
3,False,0,4,72
4,False,0,5,74
5,False,0,5,70
6,False,0,4,62
7,False,0,3,41
8,False,0,3,63
9,False,0,4,45
10,False,0,4,28
11,True,100,4,79
12,False,0,4,55
13,False,0,5,48
14,False,0,3,80
15,True,100,4,38
16,True,100,3,48
17,False,0,4,60
18,False,0,5,79
19,False,0,5,58
20,False,0,4,65
21,False,0,2,31
22,False,0,2,20
23,False,0,3,58
24,True,100,4,57
25,False,0,4,80
26,False,0,3,35
27,False,0,4,81
28,False,0,4,63
29,False,0,5,71
30,False,0,3,61
31,False,0,2,8
32,False,0,5,85
33,False,0,3,27
34,True,100,3,66
35,False,0,4,50
36,True,100,4,61
37,True,100,3,79
38,False,0,4,38
39,False,0,3,6
40,False,0,4,72
41,False,0,3,27
42,False,0,4,24
43,True,100,3,24
44,False,0,2,78
45,True,100,5,59
46,False,0,5,84
47,False,0,2,29
48,False,0,3,28
49,False,0,3,51
50,False,0,2,14
51,False,0,4,12
52,False,0,1,0
53,False,0,5,81
54,False,0,2,80
55,False,0,5,88
56,False,0,3,81
57,False,0,4,71
58,False,0,5,26
59,True,100,5,65
60,False,0,5,69
61,False,0,4,70
62,True,100,4,44
63,False,0,2,29
64,False,0,5,77
65,False,0,5,36
66,False,0,2,39
67,False,0,5,85
68,False,0,5,37
69,False,0,4,82
70,False,0,2,38
71,True,100,4,85
72,True,100,5,53
73,True,100,3,8
74,False,0,3,25
75,False,0,3,30
76,False,0,5,73
77,False,0,3,41
78,False,0,3,47
79,False,0,5,78
80,False,0,5,74
81,False,0,2,19
82,False,0,2,53
83,False,0,5,77
84,True,100,4,28
85,False,0,4,53
86,False,0,3,17
87,False,0,5,44
88,False,0,4,38
89,False,0,4,36
90,True,100,3,56
91,True,100,4,38
92,False,0,3,51
93,False,0,3,58
94,False,0,5,53
95,True,100,4,40
96,True,100,1,0
97,False,0,3,30
98,False,0,3,47
99,False,0,1,0
100,True,100,4,30
101,False,0,4,67
102,False,0,4,29
103,True,100,4,44
104,True,100,5,72
105,True,100,3,38
106,True,100,3,58
107,False,0,4,79
108,False,0,4,67
109,False,0,4,74
110,False,0,2,58
111,False,0,2,24
112,True,100,5,83
113,True,100,2,60
114,True,100,5,75
115,True,100,3,59
116,False,0,5,57
117,False,0,4,39
118,False,0,4,15
119,False,0,5,74
120,False,0,5,86
121,False,0,3,15
122,True,100,4,73
123,False,0,4,34
124,True,100,3,28
