journey_id,converted,conversion_value,total_touchpoints_in_journey,days_to_conversion
0,True,100,2,1
1,True,100,2,2
2,False,0,3,5
3,False,0,1,0
4,False,0,2,11
5,True,100,2,8
6,True,100,2,7
7,False,0,2,10
8,False,0,2,4
9,True,100,2,6
10,True,100,1,0
11,False,0,1,0
12,False,0,2,4
13,False,0,1,0
14,False,0,1,0
15,False,0,2,3
16,False,0,1,0
17,False,0,2,4
18,False,0,1,0
19,True,100,3,12
20,True,100,1,0
21,False,0,2,5
22,False,0,1,0
23,False,0,2,10
24,True,100,1,0
25,False,0,2,1
26,False,0,4,11
27,True,100,3,5
28,True,100,1,0
29,True,100,3,10
30,False,0,1,0
31,False,0,1,0
32,False,0,1,0
33,False,0,2,7
34,False,0,2,1
35,True,100,1,0
36,False,0,2,1
37,False,0,1,0
38,True,100,3,6
39,False,0,2,3
40,True,100,1,0
41,False,0,2,6
42,True,100,3,8
43,True,100,4,11
44,False,0,3,8
45,False,0,2,2
46,False,0,2,1
47,False,0,3,4
48,False,0,1,0
49,False,0,2,4
50,True,100,2,8
51,True,100,2,3
52,False,0,2,12
53,False,0,1,0
54,True,100,3,7
55,False,0,3,8
56,True,100,2,6
57,False,0,2,2
58,True,100,3,9
59,False,0,3,12
60,False,0,1,0
61,False,0,1,0
62,False,0,1,0
63,False,0,1,0
64,True,100,1,0
65,True,100,1,0
66,True,100,2,7
67,False,0,1,0
68,True,100,2,8
69,True,100,5,10
70,True,100,3,10
71,True,100,2,4
72,False,0,2,1
73,True,100,1,0
74,False,0,2,3
75,True,100,2,10
76,False,0,1,0
77,True,100,2,4
78,False,0,1,0
79,False,0,4,10
80,False,0,3,9
81,True,100,2,7
82,False,0,2,3
83,False,0,1,0
84,True,100,3,8
85,True,100,3,13
86,True,100,1,0
87,True,100,1,0
88,True,100,2,2
89,False,0,3,7
90,True,100,1,0
91,False,0,3,10
92,True,100,1,0
93,True,100,3,3
94,False,0,3,13
95,True,100,1,0
96,True,100,3,9
97,False,0,1,0
98,False,0,3,7
99,False,0,2,4
100,False,0,2,5
101,False,0,3,5
102,True,100,3,12
103,False,0,4,10
