journey_id,touchpoint_sequence,channel,timestamp,converted,conversion_value,days_to_conversion,total_touchpoints_in_journey
0,1,Social,2024-01-09,True,100,1,2
0,2,Paid Search,2024-01-10,True,100,1,2
1,1,Social,2024-01-01,True,100,2,2
1,2,Social,2024-01-03,True,100,2,2
2,1,Social,2024-01-01,False,0,5,3
2,2,Social,2024-01-03,False,0,5,3
2,3,Paid Search,2024-01-06,False,0,5,3
3,1,Display,2024-01-10,False,0,0,1
4,1,Display,2024-01-01,False,0,11,2
4,2,Paid Search,2024-01-12,False,0,11,2
5,1,Display,2024-01-02,True,100,8,2
5,2,Email,2024-01-10,True,100,8,2
6,1,Social,2024-01-07,True,100,7,2
6,2,Paid Search,2024-01-14,True,100,7,2
7,1,Paid Search,2024-01-01,False,0,10,2
7,2,Paid Search,2024-01-11,False,0,10,2
8,1,Display,2024-01-10,False,0,4,2
8,2,Paid Search,2024-01-14,False,0,4,2
9,1,Social,2024-01-03,True,100,6,2
9,2,Display,2024-01-09,True,100,6,2
10,1,Social,2024-01-10,True,100,0,1
11,1,Social,2024-01-04,False,0,0,1
12,1,Display,2024-01-09,False,0,4,2
12,2,Email,2024-01-13,False,0,4,2
13,1,Social,2024-01-12,False,0,0,1
14,1,Social,2024-01-12,False,0,0,1
15,1,Social,2024-01-02,False,0,3,2
15,2,Social,2024-01-05,False,0,3,2
16,1,Social,2024-01-05,False,0,0,1
17,1,Social,2024-01-02,False,0,4,2
17,2,Social,2024-01-06,False,0,4,2
18,1,Social,2024-01-10,False,0,0,1
19,1,Social,2024-01-01,True,100,12,3
19,2,Paid Search,2024-01-04,True,100,12,3
19,3,Paid Search,2024-01-13,True,100,12,3
20,1,Paid Search,2024-01-10,True,100,0,1
21,1,Social,2024-01-09,False,0,5,2
21,2,Paid Search,2024-01-14,False,0,5,2
22,1,Social,2024-01-06,False,0,0,1
23,1,Social,2024-01-03,False,0,10,2
23,2,Social,2024-01-13,False,0,10,2
24,1,Display,2024-01-11,True,100,0,1
25,1,Social,2024-01-08,False,0,1,2
25,2,Social,2024-01-09,False,0,1,2
26,1,Display,2024-01-01,False,0,11,4
26,2,Paid Search,2024-01-03,False,0,11,4
26,3,Email,2024-01-09,False,0,11,4
26,4,Paid Search,2024-01-12,False,0,11,4
27,1,Email,2024-01-04,True,100,5,3
27,2,Organic,2024-01-06,True,100,5,3
27,3,Email,2024-01-09,True,100,5,3
28,1,Paid Search,2024-01-13,True,100,0,1
29,1,Social,2024-01-04,True,100,10,3
29,2,Email,2024-01-11,True,100,10,3
29,3,Paid Search,2024-01-14,True,100,10,3
30,1,Organic,2024-01-07,False,0,0,1
31,1,Paid Search,2024-01-03,False,0,0,1
32,1,Display,2024-01-08,False,0,0,1
33,1,Paid Search,2024-01-05,False,0,7,2
33,2,Paid Search,2024-01-12,False,0,7,2
34,1,Paid Search,2024-01-13,False,0,1,2
34,2,Email,2024-01-14,False,0,1,2
35,1,Paid Search,2024-01-11,True,100,0,1
36,1,Paid Search,2024-01-11,False,0,1,2
36,2,Paid Search,2024-01-12,False,0,1,2
37,1,Display,2024-01-02,False,0,0,1
38,1,Display,2024-01-04,True,100,6,3
38,2,Social,2024-01-06,True,100,6,3
38,3,Paid Search,2024-01-10,True,100,6,3
39,1,Social,2024-01-02,False,0,3,2
39,2,Paid Search,2024-01-05,False,0,3,2
40,1,Display,2024-01-09,True,100,0,1
41,1,Display,2024-01-01,False,0,6,2
41,2,Display,2024-01-07,False,0,6,2
42,1,Display,2024-01-06,True,100,8,3
42,2,Paid Search,2024-01-09,True,100,8,3
42,3,Paid Search,2024-01-14,True,100,8,3
43,1,Email,2024-01-01,True,100,11,4
43,2,Paid Search,2024-01-06,True,100,11,4
43,3,Paid Search,2024-01-07,True,100,11,4
43,4,Paid Search,2024-01-12,True,100,11,4
44,1,Social,2024-01-02,False,0,8,3
44,2,Paid Search,2024-01-03,False,0,8,3
44,3,Social,2024-01-10,False,0,8,3
45,1,Social,2024-01-09,False,0,2,2
45,2,Organic,2024-01-11,False,0,2,2
46,1,Display,2024-01-01,False,0,1,2
46,2,Paid Search,2024-01-02,False,0,1,2
47,1,Social,2024-01-10,False,0,4,3
47,2,Display,2024-01-12,False,0,4,3
47,3,Display,2024-01-14,False,0,4,3
48,1,Organic,2024-01-05,False,0,0,1
49,1,Social,2024-01-06,False,0,4,2
49,2,Email,2024-01-10,False,0,4,2
50,1,Social,2024-01-02,True,100,8,2
50,2,Email,2024-01-10,True,100,8,2
51,1,Social,2024-01-08,True,100,3,2
51,2,Paid Search,2024-01-11,True,100,3,2
52,1,Social,2024-01-01,False,0,12,2
52,2,Paid Search,2024-01-13,False,0,12,2
53,1,Social,2024-01-06,False,0,0,1
54,1,Display,2024-01-04,True,100,7,3
54,2,Display,2024-01-09,True,100,7,3
54,3,Paid Search,2024-01-11,True,100,7,3
55,1,Social,2024-01-05,False,0,8,3
55,2,Social,2024-01-09,False,0,8,3
55,3,Email,2024-01-13,False,0,8,3
56,1,Social,2024-01-08,True,100,6,2
56,2,Paid Search,2024-01-14,True,100,6,2
57,1,Email,2024-01-12,False,0,2,2
57,2,Paid Search,2024-01-14,False,0,2,2
58,1,Social,2024-01-03,True,100,9,3
58,2,Display,2024-01-04,True,100,9,3
58,3,Email,2024-01-12,True,100,9,3
59,1,Social,2024-01-02,False,0,12,3
59,2,Display,2024-01-07,False,0,12,3
59,3,Email,2024-01-14,False,0,12,3
60,1,Social,2024-01-14,False,0,0,1
61,1,Display,2024-01-10,False,0,0,1
62,1,Social,2024-01-09,False,0,0,1
63,1,Paid Search,2024-01-12,False,0,0,1
64,1,Social,2024-01-05,True,100,0,1
65,1,Social,2024-01-12,True,100,0,1
66,1,Social,2024-01-04,True,100,7,2
66,2,Paid Search,2024-01-11,True,100,7,2
67,1,Display,2024-01-11,False,0,0,1
68,1,Social,2024-01-06,True,100,8,2
68,2,Paid Search,2024-01-14,True,100,8,2
69,1,Paid Search,2024-01-02,True,100,10,5
69,2,Display,2024-01-04,True,100,10,5
69,3,Email,2024-01-06,True,100,10,5
69,4,Display,2024-01-08,True,100,10,5
69,5,Paid Search,2024-01-12,True,100,10,5
70,1,Social,2024-01-03,True,100,10,3
70,2,Display,2024-01-08,True,100,10,3
70,3,Email,2024-01-13,True,100,10,3
71,1,Organic,2024-01-07,True,100,4,2
71,2,Social,2024-01-11,True,100,4,2
72,1,Display,2024-01-04,False,0,1,2
72,2,Paid Search,2024-01-05,False,0,1,2
73,1,Paid Search,2024-01-13,True,100,0,1
74,1,Social,2024-01-02,False,0,3,2
74,2,Social,2024-01-05,False,0,3,2
75,1,Social,2024-01-01,True,100,10,2
75,2,Paid Search,2024-01-11,True,100,10,2
76,1,Paid Search,2024-01-14,False,0,0,1
77,1,Social,2024-01-06,True,100,4,2
77,2,Paid Search,2024-01-10,True,100,4,2
78,1,Social,2024-01-08,False,0,0,1
79,1,Social,2024-01-01,False,0,10,4
79,2,Social,2024-01-03,False,0,10,4
79,3,Display,2024-01-06,False,0,10,4
79,4,Email,2024-01-11,False,0,10,4
80,1,Paid Search,2024-01-05,False,0,9,3
80,2,Display,2024-01-08,False,0,9,3
80,3,Social,2024-01-14,False,0,9,3
81,1,Social,2024-01-04,True,100,7,2
81,2,Paid Search,2024-01-11,True,100,7,2
82,1,Social,2024-01-04,False,0,3,2
82,2,Email,2024-01-07,False,0,3,2
83,1,Social,2024-01-05,False,0,0,1
84,1,Social,2024-01-01,True,100,8,3
84,2,Display,2024-01-06,True,100,8,3
84,3,Paid Search,2024-01-09,True,100,8,3
85,1,Social,2024-01-01,True,100,13,3
85,2,Social,2024-01-05,True,100,13,3
85,3,Email,2024-01-14,True,100,13,3
86,1,Social,2024-01-05,True,100,0,1
87,1,Display,2024-01-02,True,100,0,1
88,1,Social,2024-01-03,True,100,2,2
88,2,Paid Search,2024-01-05,True,100,2,2
89,1,Paid Search,2024-01-02,False,0,7,3
89,2,Paid Search,2024-01-03,False,0,7,3
89,3,Social,2024-01-09,False,0,7,3
90,1,Social,2024-01-04,True,100,0,1
91,1,Social,2024-01-01,False,0,10,3
91,2,Display,2024-01-10,False,0,10,3
91,3,Email,2024-01-11,False,0,10,3
92,1,Social,2024-01-04,True,100,0,1
93,1,Paid Search,2024-01-04,True,100,3,3
93,2,Email,2024-01-06,True,100,3,3
93,3,Social,2024-01-07,True,100,3,3
94,1,Social,2024-01-01,False,0,13,3
94,2,Paid Search,2024-01-04,False,0,13,3
94,3,Email,2024-01-14,False,0,13,3
95,1,Social,2024-01-05,True,100,0,1
96,1,Social,2024-01-03,True,100,9,3
96,2,Social,2024-01-05,True,100,9,3
96,3,Paid Search,2024-01-12,True,100,9,3
97,1,Paid Search,2024-01-10,False,0,0,1
98,1,Organic,2024-01-03,False,0,7,3
98,2,Display,2024-01-06,False,0,7,3
98,3,Paid Search,2024-01-10,False,0,7,3
99,1,Email,2024-01-01,False,0,4,2
99,2,Social,2024-01-05,False,0,4,2
100,1,Social,2024-01-04,False,0,5,2
100,2,Paid Search,2024-01-09,False,0,5,2
101,1,Social,2024-01-01,False,0,5,3
101,2,Paid Search,2024-01-03,False,0,5,3
101,3,Email,2024-01-06,False,0,5,3
102,1,Social,2024-01-01,True,100,12,3
102,2,Paid Search,2024-01-09,True,100,12,3
102,3,Email,2024-01-13,True,100,12,3
103,1,Display,2024-01-03,False,0,10,4
103,2,Social,2024-01-05,False,0,10,4
103,3,Paid Search,2024-01-12,False,0,10,4
103,4,Email,2024-01-13,False,0,10,4
104,1,Display,2024-01-07,False,0,6,3
104,2,Social,2024-01-10,False,0,6,3
104,3,Email,2024-01-13,False,0,6,3
105,1,Paid Search,2024-01-01,False,0,9,2
105,2,Display,2024-01-10,False,0,9,2
106,1,Paid Search,2024-01-06,True,100,6,2
106,2,Social,2024-01-12,True,100,6,2
107,1,Display,2024-01-04,False,0,0,1
108,1,Paid Search,2024-01-11,False,0,0,1
109,1,Social,2024-01-12,True,100,0,1
110,1,Display,2024-01-04,False,0,0,1
111,1,Paid Search,2024-01-09,False,0,0,1
112,1,Paid Search,2024-01-04,True,100,9,3
112,2,Display,2024-01-09,True,100,9,3
112,3,Email,2024-01-13,True,100,9,3
113,1,Social,2024-01-05,False,0,0,1
114,1,Display,2024-01-12,False,0,0,1
115,1,Social,2024-01-02,False,0,1,2
115,2,Display,2024-01-03,False,0,1,2
116,1,Social,2024-01-08,False,0,5,2
116,2,Email,2024-01-13,False,0,5,2
117,1,Social,2024-01-04,True,100,5,2
117,2,Email,2024-01-09,True,100,5,2
118,1,Social,2024-01-03,False,0,0,1
119,1,Social,2024-01-09,False,0,0,1
120,1,Email,2024-01-05,False,0,0,1
121,1,Organic,2024-01-01,False,0,3,2
121,2,Email,2024-01-04,False,0,3,2
122,1,Paid Search,2024-01-02,True,100,0,1
123,1,Social,2024-01-09,False,0,2,2
123,2,Organic,2024-01-11,False,0,2,2
124,1,Display,2024-01-06,False,0,8,2
124,2,Email,2024-01-14,False,0,8,2
125,1,Paid Search,2024-01-04,False,0,0,1
126,1,Social,2024-01-08,False,0,0,1
127,1,Email,2024-01-02,True,100,0,1
128,1,Social,2024-01-08,True,100,0,1
129,1,Display,2024-01-07,False,0,0,1
130,1,Display,2024-01-07,False,0,5,3
130,2,Email,2024-01-11,False,0,5,3
130,3,Paid Search,2024-01-12,False,0,5,3
131,1,Social,2024-01-02,False,0,10,2
131,2,Display,2024-01-12,False,0,10,2
132,1,Social,2024-01-04,False,0,4,2
132,2,Email,2024-01-08,False,0,4,2
133,1,Social,2024-01-01,False,0,9,2
133,2,Display,2024-01-10,False,0,9,2
134,1,Display,2024-01-08,True,100,6,2
134,2,Paid Search,2024-01-14,True,100,6,2
135,1,Paid Search,2024-01-04,False,0,10,2
135,2,Email,2024-01-14,False,0,10,2
136,1,Paid Search,2024-01-02,False,0,6,3
136,2,Organic,2024-01-06,False,0,6,3
136,3,Paid Search,2024-01-08,False,0,6,3
137,1,Display,2024-01-01,False,0,11,3
137,2,Social,2024-01-09,False,0,11,3
137,3,Email,2024-01-12,False,0,11,3
138,1,Social,2024-01-03,False,0,11,3
138,2,Social,2024-01-06,False,0,11,3
138,3,Paid Search,2024-01-14,False,0,11,3
139,1,Paid Search,2024-01-07,True,100,0,1
